address,eth_balance
0x00000000219ab540356cbb839cbe05303d7705fa,16561783125421596051145556
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3992723458677464593148674
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1996008288268606813995236
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,1780839979118769395003802
0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0,1636037377095017987539780
0xf977814e90da44bfa03b6295a0616a897441acec,1447741952059314426973223
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,876466766502215858623941
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,584999082079595852009631
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,489899219507182024615616
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,479498954581340000000001
0xe92d1a43df510f82c66382592a047d288f85226f,450118326010976663088772
0x28c6c06298d514db089934071355e5743bf21d60,433449691794362446206541
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,365989109582257306660554
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,336271506712373395679776
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,325000481665758268096499
0x3bfc20f0b9afcace800d73d2191166ff16540258,306276635371399926202000
0x742d35cc6634c0532925a3b844bc454e4438f44e,302190827976348049937840
0xcffad3200574698b78f32232aa9d63eabd290703,294187530500371413356383
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,283300003816077120640099
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,277924364743253885624163
0x8103683202aa8da10536036edef04cdd865c225e,275000028052465694496868
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,270857899914868981577872
0x78605df79524164911c144801f41e9811b7db73d,269946633577621239756575
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,259558137545613517878661
0x189b9cbd4aff470af2c0102f365fc1823d857965,257860346538690832030074
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248454025158027746099
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000017073189357289820
0x195b91ccebd51aa61d851fe531f5612dea4efbfd,247979495666607282092107
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,244001010487701567100010
0x9845e1909dca337944a0272f1f9f7249833d2d19,240001205959663132398436
0x756d64dc5edb56740fc617628dc832ddbcfd373c,226378917974650000000000
0x176f3dab24a159341c0509bb36b833e7fdd0a132,223780577142356899430180
0x59448fe20378357f206880c58068f095ae63d5a5,215368755921551111110000
0x73af3bcf944a6559933396c1577b257e2054d935,213906445775341060919225
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,200000755796202284827000
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,200000108055971329543721
0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,200000000400171911718282
0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,200000000000000000000000
0x539c92186f7c6cc4cbf443f26ef84c595babbca1,200000000000000000000000
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,199999990000000000000000
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,199576846071898135030101
0xcdbf58a9a9b54a2c43800c50c7192946de858321,193799072204261728738336
0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,187500000100000000000000
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068195613084176594325
0x05f7cb58d187d0024123c1c2a67b00be44598828,186009513200595296229626
0xbddf00563c9abd25b576017f08c46982012f12be,183762857512000000000666
0x434587332cc35d33db75b93f4f27cc496c67a4db,181330814947038918939183
0x07ee55aa48bb72dcc6e9d78256648910de513eca,177696029022935468400001
0x36a85757645e8e8aec062a1dee289c7d615901ca,177328307668245225870000
